ClockLab,,,,
1873L,,,,
16-Nov-20,6:00,,,
Day,Hr,Min,Cnts/min,Lights
1,6,0,NaN,NaN
1,6,5,NaN,NaN
1,6,10,NaN,NaN
1,6,15,NaN,NaN
1,6,20,NaN,NaN
1,6,25,NaN,NaN
1,6,30,NaN,NaN
1,6,35,NaN,NaN
1,6,40,NaN,NaN
1,6,45,NaN,NaN
1,6,50,NaN,NaN
1,6,55,NaN,NaN
1,7,0,NaN,NaN
1,7,5,NaN,NaN
1,7,10,NaN,NaN
1,7,15,NaN,NaN
1,7,20,NaN,NaN
1,7,25,NaN,NaN
1,7,30,NaN,NaN
1,7,35,NaN,NaN
1,7,40,NaN,NaN
1,7,45,NaN,NaN
1,7,50,NaN,NaN
1,7,55,NaN,NaN
1,8,0,NaN,NaN
1,8,5,NaN,NaN
1,8,10,NaN,NaN
1,8,15,NaN,NaN
1,8,20,NaN,NaN
1,8,25,NaN,NaN
1,8,30,NaN,NaN
1,8,35,NaN,NaN
1,8,40,NaN,NaN
1,8,45,NaN,NaN
1,8,50,NaN,NaN
1,8,55,NaN,NaN
1,9,0,NaN,NaN
1,9,5,NaN,NaN
1,9,10,NaN,NaN
1,9,15,NaN,NaN
1,9,20,NaN,NaN
1,9,25,NaN,NaN
1,9,30,NaN,NaN
1,9,35,NaN,NaN
1,9,40,NaN,NaN
1,9,45,NaN,NaN
1,9,50,NaN,NaN
1,9,55,NaN,NaN
1,10,0,NaN,NaN
1,10,5,NaN,NaN
1,10,10,NaN,NaN
1,10,15,NaN,NaN
1,10,20,NaN,NaN
1,10,25,NaN,NaN
1,10,30,NaN,NaN
1,10,35,NaN,NaN
1,10,40,NaN,NaN
1,10,45,NaN,NaN
1,10,50,NaN,NaN
1,10,55,NaN,NaN
1,11,0,NaN,NaN
1,11,5,NaN,NaN
1,11,10,NaN,NaN
1,11,15,NaN,NaN
1,11,20,NaN,NaN
1,11,25,NaN,NaN
1,11,30,NaN,NaN
1,11,35,NaN,NaN
1,11,40,NaN,NaN
1,11,45,NaN,NaN
1,11,50,NaN,NaN
1,11,55,NaN,NaN
1,12,0,NaN,NaN
1,12,5,NaN,NaN
1,12,10,NaN,NaN
1,12,15,NaN,NaN
1,12,20,NaN,NaN
1,12,25,NaN,NaN
1,12,30,NaN,NaN
1,12,35,NaN,NaN
1,12,40,NaN,NaN
1,12,45,NaN,NaN
1,12,50,NaN,NaN
1,12,55,NaN,NaN
1,13,0,NaN,NaN
1,13,5,NaN,NaN
1,13,10,NaN,NaN
1,13,15,NaN,NaN
1,13,20,NaN,NaN
1,13,25,NaN,NaN
1,13,30,NaN,NaN
1,13,35,NaN,NaN
1,13,40,NaN,NaN
1,13,45,NaN,NaN
1,13,50,NaN,NaN
1,13,55,NaN,NaN
1,14,0,NaN,NaN
1,14,5,NaN,NaN
1,14,10,NaN,NaN
1,14,15,NaN,NaN
1,14,20,NaN,NaN
1,14,25,NaN,NaN
1,14,30,NaN,NaN
1,14,35,NaN,NaN
1,14,40,NaN,NaN
1,14,45,NaN,NaN
1,14,50,NaN,NaN
1,14,55,NaN,NaN
1,15,0,NaN,NaN
1,15,5,NaN,NaN
1,15,10,NaN,NaN
1,15,15,NaN,NaN
1,15,20,NaN,NaN
1,15,25,47.8,43.4
1,15,30,38.2,61.8
1,15,35,49.6,54.8
1,15,40,38.6,14.2
1,15,45,42,5.2
1,15,50,38.4,57.6
1,15,55,38.4,61.4
1,16,0,31,105.6
1,16,5,36.2,104.2
1,16,10,45.8,59.6
1,16,15,46.4,105.8
1,16,20,45,56.8
1,16,25,25.4,20.2
1,16,30,49.2,108.8
1,16,35,41.8,9.6
1,16,40,20.4,11.6
1,16,45,1.4,9.4
1,16,50,10.8,19.2
1,16,55,10.2,15
1,17,0,1.8,12.4
1,17,5,0,10.2
1,17,10,0,17.8
1,17,15,0,14
1,17,20,0,14
1,17,25,0,15.4
1,17,30,24.6,10.2
1,17,35,0.2,10.4
1,17,40,0,63.8
1,17,45,0,65.6
1,17,50,0,13.4
1,17,55,0,7.8
1,18,0,0,8.4
1,18,5,0,4.8
1,18,10,0,107.6
1,18,15,0,59.2
1,18,20,0,14.8
1,18,25,0,11.8
1,18,30,39.8,104.4
1,18,35,21.6,55.2
1,18,40,12.6,11.8
1,18,45,0,4.6
1,18,50,8.6,62.8
1,18,55,6.2,58.8
1,19,0,0,0.8
1,19,5,0,0
1,19,10,0,0
1,19,15,20,0
1,19,20,31.8,0
1,19,25,37.4,0
1,19,30,19.6,0
1,19,35,21.4,0
1,19,40,24,0
1,19,45,30.6,0
1,19,50,36.8,0
1,19,55,30.4,0
1,20,0,23.4,0
1,20,5,27.8,0
1,20,10,32.4,0
1,20,15,3.4,0
1,20,20,18,0
1,20,25,14,0
1,20,30,23.6,0
1,20,35,37.2,0
1,20,40,39.4,0
1,20,45,38.2,0
1,20,50,29.8,0
1,20,55,10,0
1,21,0,40.6,0
1,21,5,6.2,0
1,21,10,13.2,0
1,21,15,30.6,0
1,21,20,24.8,0
1,21,25,13,0
1,21,30,50.2,0
1,21,35,32.8,0
1,21,40,38.4,0
1,21,45,39.2,0
1,21,50,50.8,0
1,21,55,57.4,0
1,22,0,41.8,0
1,22,5,33.8,0
1,22,10,42.4,0
1,22,15,50.8,0
1,22,20,23.8,0
1,22,25,49,0
1,22,30,20.6,0
1,22,35,31.2,0
1,22,40,0.8,0
1,22,45,0,0
1,22,50,0,0
1,22,55,0,0
1,23,0,0,0
1,23,5,0,0
1,23,10,0,0
1,23,15,0,0
1,23,20,0,0
1,23,25,0,0
